"%IDData";"%IDUnidade";"%IDMunicipio";"%IDExame";"Qtde. Vendas";"Vlr. Vendas";"Vlr. Unit. Vendas"
01/01/2019;"58";"3106200";"214";7;18.9;2.7
01/01/2019;"58";"3106705";"214";7;46.83;6.69
01/01/2019;"52";"3106200";"214";8;67.04;8.38
01/01/2019;"54";"3106200";"214";8;81.76;10.22
01/01/2019;"53";"3106200";"214";9;85.68;9.52
01/01/2019;"54";"3144805";"214";11;104.72;9.52
01/01/2019;"55";"3170107";"214";13;133.51;10.27
01/01/2019;"54";"3106200";"214";47;488.8;10.4
01/01/2019;"51";"3106200";"214";75;469.5;6.26
01/01/2019;"54";"3170107";"216";1;23.96;23.96
01/01/2019;"52";"3106200";"216";1;29.4;29.4
01/01/2019;"56";"3106200";"216";1;29.4;29.4
01/01/2019;"51";"3106200";"223";2;43.52;21.76
01/01/2019;"56";"3106200";"227";1;6.48;6.48
01/01/2019;"52";"3106200";"227";1;15;15
01/01/2019;"51";"3106705";"227";1;19.11;19.11
01/01/2019;"54";"3144805";"227";1;22.92;22.92
01/01/2019;"58";"3106200";"227";3;15.69;5.23
01/01/2019;"58";"3106200";"227";4;32.52;8.13
01/01/2019;"53";"3106200";"227";5;82.5;16.5
01/01/2019;"59";"3106200";"227";6;62.4;10.4
01/01/2019;"50";"3106200";"227";6;89.94;14.99
01/01/2019;"58";"3106705";"227";8;136;17
01/01/2019;"55";"3170107";"227";10;176.3;17.63
01/01/2019;"54";"3144805";"227";13;105.3;8.1
01/01/2019;"53";"3106200";"227";14;113.4;8.1
01/01/2019;"54";"3106200";"227";14;210;15
01/01/2019;"52";"3106200";"227";15;198.6;13.24
01/01/2019;"51";"3106200";"227";18;109.08;6.06
01/01/2019;"50";"3106200";"227";45;419.4;9.32
01/01/2019;"52";"3106200";"235";1;3.9;3.9
01/01/2019;"58";"3106705";"235";1;7.66;7.66
01/01/2019;"52";"3106200";"235";2;8.94;4.47
01/01/2019;"50";"3106200";"235";2;9.53;4.77
01/01/2019;"58";"3170107";"235";2;19.28;9.64
01/01/2019;"59";"3106200";"235";6;25.92;4.32
01/01/2019;"54";"3106200";"235";6;48;8
01/01/2019;"52";"3106200";"236";1;3.9;3.9
01/01/2019;"50";"3106200";"236";1;6.31;6.31
01/01/2019;"58";"3106705";"236";1;7.66;7.66
01/01/2019;"55";"3170107";"236";1;8.28;8.28
01/01/2019;"52";"3106200";"236";2;9.22;4.61
01/01/2019;"58";"3170107";"236";2;19.28;9.64
01/01/2019;"54";"3106200";"236";5;36.45;7.29
01/01/2019;"55";"3106200";"236";26;174.2;6.7
01/01/2019;"58";"3170107";"247";1;256.08;256.08
01/01/2019;"55";"3106200";"250";1;12.36;12.36
01/01/2019;"51";"3106200";"250";4;45.52;11.38
01/01/2019;"50";"3106200";"251";2;61.66;30.83
01/01/2019;"53";"3106200";"253";3;65.58;21.86
01/01/2019;"53";"3106200";"254";1;176.67;176.67
01/01/2019;"54";"3144805";"254";1;176.67;176.67
01/01/2019;"55";"3170107";"254";1;259.74;259.74
01/01/2019;"54";"3106200";"254";1;337.56;337.56
01/01/2019;"54";"3144805";"254";2;94;47
01/01/2019;"51";"3106200";"254";2;195.32;97.66
01/01/2019;"59";"3106200";"255";1;115.2;115.2
01/01/2019;"54";"3170107";"255";1;138.17;138.17
01/01/2019;"53";"3106200";"255";1;141.24;141.24
01/01/2019;"50";"3106200";"255";3;171.18;57.06
01/01/2019;"50";"3106200";"257";1;117;117
01/01/2019;"56";"3170107";"257";1;183.28;183.28
