%IDData,%IDUnidade,%IDMunicipio,%IDExame,Qtde. Vendas,Vlr. Vendas,Vlr. Unit. Vendas
01/01/2019,54,3144805,2535,21,110.46,5.26
01/01/2019,54,3144805,2535,367,1137.7,3.1
01/01/2019,54,3144805,2539,18,91.8,5.1
01/01/2019,54,3144805,2539,37,216.08,5.84
01/01/2019,54,3144805,2539,911,3552.9,3.9
01/01/2019,54,3144805,2543,4,40.8,10.2
01/01/2019,54,3144805,2543,102,540.6,5.3
01/01/2019,54,3144805,2543,115,806.15,7.01
01/01/2019,54,3144805,2597,1,71.12,71.12
01/01/2019,54,3144805,2719,20,229.4,11.47
01/01/2019,54,3144805,2727,2,15.6,7.8
01/01/2019,54,3144805,2730,1,55.01,55.01
01/01/2019,54,3144805,2734,3,15.42,5.14
01/01/2019,54,3144805,2734,93,911.4,9.8
01/01/2019,54,3144805,2735,3,20.55,6.85
01/01/2019,54,3144805,2735,94,789.6,8.4
01/01/2019,56,3144805,2787,1,9,9.
01/01/2019,56,3144805,2791,1,9,9.
01/01/2019,56,3144805,2792,1,9,9.
01/01/2019,56,3144805,2801,5,45,9.
01/01/2019,56,3144805,2813,2,18,9.
01/01/2019,56,3144805,2818,1,9,9.
01/01/2019,56,3144805,2840,7,63,9.
01/01/2019,56,3144805,2846,2,30,15.
01/01/2019,56,3144805,2847,2,18,9.
01/01/2019,56,3144805,2867,4,36,9.
01/01/2019,56,3144805,2882,2,18,9.
01/01/2019,56,3144805,2902,12,108,9.
01/01/2019,54,3144805,2910,15,67.5,4.5
01/01/2019,53,3144805,2943,1,9.11,9.11
01/01/2019,54,3144805,2943,1,9.11,9.11
01/01/2019,54,3144805,2943,19,77.9,4.1
01/01/2019,54,3144805,2953,1,12.36,12.36
01/01/2019,54,3144805,2953,4,23.84,5.96
01/01/2019,54,3144805,2957,8,133.36,16.67
01/01/2019,54,3144805,2962,2,20,10.
01/01/2019,54,3144805,2966,1,18.96,18.96
01/01/2019,53,3144805,2966,3,56.88,18.96
01/01/2019,54,3144805,2966,6,88.62,14.77
01/01/2019,54,3144805,2981,1,6.55,6.55
01/01/2019,54,3144805,2981,44,314.6,7.15
01/01/2019,54,3144805,2983,9,168.3,18.7
01/01/2019,54,3144805,3000,1,9.35,9.35
01/01/2019,54,3144805,3000,1,10,10.
01/01/2019,53,3144805,3000,1,18.87,18.87
01/01/2019,54,3144805,3000,50,460,9.2
01/01/2019,54,3144805,3001,1,9.35,9.35
01/01/2019,54,3144805,3001,43,395.6,9.2
01/01/2019,54,3144805,3025,6,30,5.
01/01/2019,54,3144805,3025,91,273,3.
01/01/2019,54,3144805,3044,22,44,2.
01/01/2019,54,3144805,3048,2,7.6,3.8
01/01/2019,54,3144805,3048,4,9.36,2.34
01/01/2019,54,3144805,3048,146,233.6,1.6
01/01/2019,54,3144805,3050,71,142,2.
01/01/2019,54,3144805,3050,161,376.74,2.34
01/01/2019,54,3144805,3050,2545,3563,1.4
01/01/2019,54,3144805,3051,1,8.56,8.56
01/01/2019,54,3144805,3052,287,401.8,1.4
01/01/2019,54,3144805,3053,1,17.52,17.52
01/01/2019,54,3144805,3073,18,124.2,6.9
01/01/2019,54,3144805,3074,16,67.2,4.2
01/01/2019,54,3144805,3144,60,99,1.65
01/01/2019,54,3144805,3145,61,100.65,1.65
01/01/2019,54,3144805,3151,35,659.4,18.84
01/01/2019,54,3144805,3158,5,66.15,13.23
01/01/2019,54,3144805,3168,13,139.36,10.72
01/01/2019,54,3144805,3177,4,33.88,8.47
01/01/2019,54,3144805,3177,38,330.6,8.7
01/01/2019,54,3144805,3184,1,29.06,29.06
01/01/2019,54,3144805,3193,1,5.03,5.03
01/01/2019,54,3144805,3193,4,14,3.5
01/01/2019,54,3144805,3193,55,346.5,6.3
01/01/2019,54,3144805,3201,13,21.45,1.65
01/01/2019,54,3144805,3215,1,11.8,11.8
01/01/2019,54,3144805,3232,105,189,1.8
01/01/2019,54,3144805,3232,201,446.22,2.22
01/01/2019,54,3144805,3232,5083,7116.2,1.4
01/01/2019,54,3144805,3234,1,8.84,8.84
01/01/2019,54,3144805,3240,2,87.16,43.58
01/01/2019,54,3144805,3240,9,246.51,27.39
01/01/2019,54,3144805,3264,93,148.8,1.6
01/01/2019,54,3144805,3270,1,3.1,3.1
